conversation_id,created_at,full_text,Processed_Tweet
1.64811e+18,Mon Apr 17 23:59:14 +0000 2023,"「BTCは最も重要なレジスタンスにいるが、人々はアルトシーズンを願っている

BTCがぶち上がりアルトがやられるか
BTCがぶち下がりアルトがやられるだろう」

だそうです",btcは最も重要なレジスタンスにいるが人々はアルトシーズンを願っている btcがぶち上がりアルトがやられるか btcがぶち下がりアルトがやられるだろう だそうです
1.6479e+18,Mon Apr 17 23:59:13 +0000 2023,@btcfork The SegWit activation marked the moment when BTC diverged from being Bitcoin.,segwit activation marked moment btc diverged bitcoin
1.64811e+18,Mon Apr 17 23:59:10 +0000 2023,@denverbitcoin Bro just let me make some money here. It’s a valid Bitcoin transaction. 😂,bro let make money valid bitcoin transaction
1.64811e+18,Mon Apr 17 23:59:10 +0000 2023,"@pana067 @BlackstarXXI Imagine, I really think we are that early and that pepe is the second coming of #btc",imagine really think early pepe second coming btc
1.64811e+18,Mon Apr 17 23:59:09 +0000 2023,"Nakamoto Whale ➜ SOLD
Inscription #417004

💥 SOLD! POW POW → 0.05400000 BTC ($1588.37 USD)

💦 https://t.co/RyivJnguWD

🏺 @NakamotoWhales @CatalinaWhales

Welcome to the fucking Catalina Whale Mixer! https://t.co/gYMLIMUzWR",nakamoto whale sold inscription 417004 sold pow pow 005400000 btc 158837 usd welcome fucking catalina whale mixer
1.64811e+18,Mon Apr 17 23:59:09 +0000 2023,"La mayoría de la gente volverá a comprar #Bitcoin sólo hasta que llegue a nuevos máximos históricos.

Triste pero cierto.",la mayoría de la gente volverá comprar bitcoin sólo hasta que llegue nuevos máximos históricos triste pero cierto
1.64801e+18,Mon Apr 17 23:59:08 +0000 2023,@WatcherGuru If that Gary 🤡 is fired btc Will hit 100k with in 48hrs !!,gary fired btc hit 100k 48hrs
1.64811e+18,Mon Apr 17 23:59:05 +0000 2023,Full send🔥🚀. $BTC  $ETH $SPY $COIN,full send btc eth spy coin
1.64811e+18,Mon Apr 17 23:59:05 +0000 2023,Stablecoins: Aggregate Supplies #bitcoin #Crypto https://t.co/WDTXkmdJGp,stablecoins aggregate supply bitcoin crypto
1.64811e+18,Mon Apr 17 23:59:04 +0000 2023,"#BTC Dominance Nasty Rejection at the Key Resistance..!!

Pretty Bullish for #Altcoins 📈
Buy the dip 🚀 https://t.co/yvzA9pFduz",btc dominance nasty rejection key resistance pretty bullish altcoins buy dip
1.644e+18,Mon Apr 17 23:59:01 +0000 2023,@wanchain_org Please add bitcoin lightning network...,please add bitcoin lightning network
1.64811e+18,Mon Apr 17 23:59:00 +0000 2023,"Candle of day 17/04/2023 closed.

Open: $ 30,328.97
High: $ 30,329.61
Low: $ 29,322.16
Close: $ 29,427.10

Change: -3.06%

#Bitcoin #Candle #BearMarket",candle day 17042023 closed open 3032897 high 3032961 low 2932216 close 2942710 change 306 bitcoin candle bearmarket
1.64811e+18,Mon Apr 17 23:59:00 +0000 2023,"18 Nisan BİTCOİN GÜN VERİLERİ ;
DÜŞÜŞ (AÇILIŞ FİYATINDAN HESAPLAYINIZ)
%0,5 ÜSTÜ 50%
%1 ÜSTÜ 50%
%2 ÜSTÜ 40%
%5 ÜSTÜ30%

YÜKSELİŞ 
%0,5 ÜSTÜ  100%
%1 ÜSTÜ 70%
%2 ÜSTÜ 50%
%5 ÜSTÜ10%

10 Yıllık Bitcoin gün verisidir. #Bitcoin #BTCUSDT #BTC",18 nisan bi̇tcoi̇n gün veri̇leri̇ düşüş açiliş fi̇yatindan hesaplayiniz 05 üstü 50 1 üstü 50 2 üstü 40 5 üstü30 yükseli̇ş 05 üstü 100 1 üstü 70 2 üstü 50 5 üstü10 10 yıllık bitcoin gün verisidir bitcoin btcusdt btc
1.64811e+18,Mon Apr 17 23:58:54 +0000 2023,@WallStreetSilv Not if I'm buying bitcoin and move to El Salvadors world of bitcoin,im buying bitcoin move el salvador world bitcoin
1.64796e+18,Mon Apr 17 23:58:52 +0000 2023,"@FightHaven I know you shouldn't bring a knife to a gun fight, but DAM. 

All things considered, with the energy that flurry took he might've been better off launching some possibly tainted spit from his mouth for the in light of the legal (lifelong?) consequences...",know shouldnt bring knife gun fight dam thing considered energy flurry took mightve better launching possibly tainted spit mouth light legal lifelong consequence
1.64811e+18,Mon Apr 17 23:58:50 +0000 2023,@NFTwap @Ziko_btc https://t.co/ntvNTXniVv,
1.64811e+18,Mon Apr 17 23:58:50 +0000 2023,"SIGNAL #YFII #YFIIUSDT :

▶ Buy now At or Under 1186.7

✏Target1= 1194.5

✏Target2= 1211.8

✏Target3= 1229.5

✗ Stop Loss= 1164.0

⚠ Be cautious pals!

Always Buy the dip 💰

#SPOT #BTC #ビットコイン

To Subscribe to our VIP SIGNALS channel, PM ME! https://t.co/QUrRDQ6FCZ",signal yfii yfiiusdt buy 11867 target1 11945 target2 12118 target3 12295 stop loss 11640 cautious pal always buy dip spot btc ビットコイン subscribe vip signal channel pm
1.64811e+18,Mon Apr 17 23:58:44 +0000 2023,you KNOW how much I love this @BTC_DeGods right?,know much love right
1.64805e+18,Mon Apr 17 23:58:43 +0000 2023,@Cello77352936 $inj is next btc ❤️🚀🚀🤑🥷,inj next btc
1.64792e+18,Mon Apr 17 23:58:39 +0000 2023,@Crypto__emily I pick bitcoin,pick bitcoin
1.63395e+18,Mon Apr 17 23:58:38 +0000 2023,"@anilsaidso Amazing, thank you for your work.",amazing thank work
1.6481e+18,Mon Apr 17 23:58:38 +0000 2023,@CryptoProject6 My answer for this question is NO. Crypto coins are always volatile and keep changing by change in price of bitcoin nd other expensive coins. So I don't this level is going to be stable.,answer question crypto coin always volatile keep changing change price bitcoin nd expensive coin dont level going stable
1.64806e+18,Mon Apr 17 23:58:33 +0000 2023,@ShidoGlobal @ShidoGlobal please don’t reveal/disclose anything until BTC close to ATH.,please dont revealdisclose anything btc close ath
1.64811e+18,Mon Apr 17 23:58:32 +0000 2023,"No trigger for longs on btc atm, but I am looking for 2 things to hop in 

1) run of mday into a deeper test of hourly demand (stop clear, below 28.8) 

2) reclaim of previous range low, which confirm this as a deviation 

Lets see what we get. 

https://t.co/CtssVyuGWF https://t.co/mg0UM7A9zl",trigger longs btc atm looking 2 thing hop 1 run mday deeper test hourly demand stop clear 288 2 reclaim previous range low confirm deviation let see get
1.64811e+18,Mon Apr 17 23:58:30 +0000 2023,#Bitcoin hitting lower level 1st band 2hour timeframe- #BuySignal @ 29487.65 #btc #bitcoin,bitcoin hitting lower level 1st band 2hour timeframe buysignal 2948765 btc bitcoin
1.648e+18,Mon Apr 17 23:58:26 +0000 2023,@BchainCrusader @BitApes_btc LFG! #ordinals #bitapes https://t.co/fFkiajK9VF,lfg ordinal bitapes
1.64811e+18,Mon Apr 17 23:58:25 +0000 2023,"#Bitcoin is the next #Bitcoin
Few",bitcoin next bitcoin
1.64811e+18,Mon Apr 17 23:58:24 +0000 2023,👀 $BTC 1 month 🕯️ https://t.co/hDuwWVNByK,btc 1 month
1.64811e+18,Mon Apr 17 23:58:22 +0000 2023,#gift #newsupdates #business #news #NewsUpdate #trend #digitalmarketing #deals #discount #writerslift #discounts #twitter #marketing #BMPRT #deal #BreakingNews #Breaking #affiliatemarketing #doge #crypto #Bitcoin #web3 https://t.co/ZK0gtHTGTy,gift newsupdates business news newsupdate trend digitalmarketing deal discount writerslift discount twitter marketing bmprt deal breakingnews breaking affiliatemarketing doge crypto bitcoin web3
1.64811e+18,Mon Apr 17 23:58:20 +0000 2023,"💥BNBTC CONTRACT IS LOCKED 🔐:

#Polygon, #Ledger urge EU to amend smart contract rules forcing inadvertent centralization

Just hold #BNBTC, thank me later🚀🚀

#BNBTC #Bitcoin #CZ #Binance #BNB #BUSD #Microstrategy #Saylor #1BTC #ETH #Celsius #LUNC #DOGE #SHIB #HEX #GALA #DGC…",bnbtc contract locked polygon ledger urge eu amend smart contract rule forcing inadvertent centralization hold bnbtc thank later bnbtc bitcoin cz binance bnb busd microstrategy saylor 1btc eth celsius lunc doge shib hex gala dgc
